Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
13/08/05,Aston Villa,Bolton,2,2,D,2,2,D,M Riley
13/08/05,Everton,Man United,0,2,A,0,1,A,G Poll
13/08/05,Fulham,Birmingham,0,0,D,0,0,D,R Styles
13/08/05,Man City,West Brom,0,0,D,0,0,D,C Foy
13/08/05,Middlesbrough,Liverpool,0,0,D,0,0,D,M Halsey
13/08/05,Portsmouth,Tottenham,0,2,A,0,1,A,B Knight
13/08/05,Sunderland,Charlton,1,3,A,1,1,D,H Webb
13/08/05,West Ham,Blackburn,3,1,H,0,1,A,A Wiley
14/08/05,Arsenal,Newcastle,2,0,H,0,0,D,S Bennett
14/08/05,Wigan,Chelsea,0,1,A,0,0,D,M Clattenburg
20/08/05,Birmingham,Man City,1,2,A,1,1,D,M Clattenburg
20/08/05,Blackburn,Fulham,2,1,H,1,0,H,H Webb
20/08/05,Charlton,Wigan,1,0,H,1,0,H,R Styles
20/08/05,Liverpool,Sunderland,1,0,H,1,0,H,B Knight
20/08/05,Man United,Aston Villa,1,0,H,0,0,D,P Dowd
20/08/05,Newcastle,West Ham,0,0,D,0,0,D,D Gallagher
20/08/05,Tottenham,Middlesbrough,2,0,H,0,0,D,M Atkinson
20/08/05,West Brom,Portsmouth,2,1,H,1,0,H,M Riley
21/08/05,Bolton,Everton,0,1,A,0,0,D,A Wiley
21/08/05,Chelsea,Arsenal,1,0,H,0,0,D,G Poll
23/08/05,Birmingham,Middlesbrough,0,3,A,0,2,A,P Dowd
23/08/05,Portsmouth,Aston Villa,1,1,D,1,1,D,G Poll
23/08/05,Sunderland,Man City,1,2,A,1,2,A,P Walton
24/08/05,Arsenal,Fulham,4,1,H,1,1,D,M Clattenburg
24/08/05,Blackburn,Tottenham,0,0,D,0,0,D,D Gallagher
24/08/05,Bolton,Newcastle,2,0,H,1,0,H,R Styles
24/08/05,Chelsea,West Brom,4,0,H,2,0,H,M Halsey
